round,revision,suite,benchmark,mean_ns
3,bytes,account_extension_subcalls,subcall_1000_nested/payload=32,328126.9348449223
3,arc,account_extension_subcalls,subcall_1000_same_account/payload=0,186588.42722613053
3,arc,account_extension_subcalls,subcall_1000_nested/payload=0,360885.9797618601
3,arc,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,187044.15258706856
3,arc,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,183420.11930827008
3,arc,account_extension_subcalls,subcall_1000_same_account/payload=32,187033.28220919467
3,arc,account_extension_subcalls,subcall_1000_nested/payload=32,362977.19250218815
3,ecobytes,account_extension_subcalls,subcall_1000_same_account/payload=0,191907.68173788732
3,ecobytes,account_extension_subcalls,subcall_1000_nested/payload=0,378875.8541945977
3,ecobytes,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,197377.09030226117
3,ecobytes,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,194588.97937607268
3,ecobytes,account_extension_subcalls,subcall_1000_same_account/payload=32,193759.61118152647
3,ecobytes,account_extension_subcalls,subcall_1000_nested/payload=32,379446.2154042593
4,arc,account_extension_subcalls,subcall_1000_same_account/payload=0,190597.9381146149
4,arc,account_extension_subcalls,subcall_1000_nested/payload=0,368006.26755975874
4,arc,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,199775.75412675727
4,arc,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,199433.23533470926
4,arc,account_extension_subcalls,subcall_1000_same_account/payload=32,190932.1176441496
4,arc,account_extension_subcalls,subcall_1000_nested/payload=32,368631.3142026584
4,bytes,account_extension_subcalls,subcall_1000_same_account/payload=0,180683.8474694411
4,bytes,account_extension_subcalls,subcall_1000_nested/payload=0,329445.7966369837
4,bytes,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,177754.95921720352
4,bytes,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,181413.27864138596
4,bytes,account_extension_subcalls,subcall_1000_same_account/payload=32,169020.16353375174
4,bytes,account_extension_subcalls,subcall_1000_nested/payload=32,327554.0063682571
4,wrapped,account_extension_subcalls,subcall_1000_same_account/payload=0,178258.21022882257
4,wrapped,account_extension_subcalls,subcall_1000_nested/payload=0,345185.3860400356
4,wrapped,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,186229.78151351438
4,wrapped,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,186752.0421629868
4,wrapped,account_extension_subcalls,subcall_1000_same_account/payload=32,180490.10490752675
4,wrapped,account_extension_subcalls,subcall_1000_nested/payload=32,343138.28523405374
4,thinarc,account_extension_subcalls,subcall_1000_same_account/payload=0,187817.3136578612
4,thinarc,account_extension_subcalls,subcall_1000_nested/payload=0,368405.8347526155
4,thinarc,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,186379.384360002
4,thinarc,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,185841.9731897511
4,thinarc,account_extension_subcalls,subcall_1000_same_account/payload=32,189010.03721671633
4,thinarc,account_extension_subcalls,subcall_1000_nested/payload=32,369328.7042451868
4,ecobytes,account_extension_subcalls,subcall_1000_same_account/payload=0,188876.14199756322
4,ecobytes,account_extension_subcalls,subcall_1000_nested/payload=0,364638.99976232916
4,ecobytes,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,187207.16374363744
4,ecobytes,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,190872.0137552926
4,ecobytes,account_extension_subcalls,subcall_1000_same_account/payload=32,185342.42937239233
4,ecobytes,account_extension_subcalls,subcall_1000_nested/payload=32,360279.2077508133
