suite,benchmark,baseline,pairs,median_change_pct,min_change_pct,max_change_pct,bootstrap_low_pct,bootstrap_high_pct
bench,Crypto Precompile benchmarks/modexp/mod_even_32b_exp_256,base,3,0.6769508058875884,-0.9638986561375074,0.912205582097303,-0.9638986561375074,0.912205582097303
bench,Crypto Precompile benchmarks/modexp/mod_even_8b_exp_896,main,3,-0.09323118448602008,-0.9217140479392261,-0.09223519369930822,-0.9217140479392261,-0.09223519369930822
bench,Crypto Precompile benchmarks/modexp/mod_even_8b_exp_896,base,3,-0.2912222074393789,-1.4962914240871372,-0.010828073555846363,-1.4962914240871372,-0.010828073555846363
bench,Crypto Precompile benchmarks/modexp/mod_odd_256b_exp_1024,main,3,-0.031095468438646634,-0.18278132550408888,0.18672580024818863,-0.18278132550408888,0.18672580024818863
bench,Crypto Precompile benchmarks/modexp/mod_odd_256b_exp_1024,base,3,-0.004724940367806241,-0.11909479909598675,0.06422229956071224,-0.11909479909598675,0.06422229956071224
bench,Crypto Precompile benchmarks/p256verify precompile,main,3,0.11688604199457941,-0.01056334721980523,0.17351208032616583,-0.01056334721980523,0.17351208032616583
bench,Crypto Precompile benchmarks/p256verify precompile,base,3,-0.11291932830724827,-0.674694664089448,0.0017481519339890284,-0.674694664089448,0.0017481519339890284
bench,Crypto Precompile benchmarks/test_bls12_381[bls12_fp_to_g1],main,3,-0.27930731560781297,-0.2794432587314377,-0.13171668326581454,-0.2794432587314377,-0.13171668326581454
bench,Crypto Precompile benchmarks/test_bls12_381[bls12_fp_to_g1],base,3,-0.18705495278950046,-0.2661145209986393,0.03449638677286426,-0.2661145209986393,0.03449638677286426
bench,Crypto Precompile benchmarks/test_bls12_381[bls12_fp_to_g2],main,3,-0.06822648244306784,-0.25186401989216733,0.06779827826342011,-0.25186401989216733,0.06779827826342011
bench,Crypto Precompile benchmarks/test_bls12_381[bls12_fp_to_g2],base,3,-0.2581971046758613,-0.41838222261311175,0.12193724302069775,-0.41838222261311175,0.12193724302069775
bench,Crypto Precompile benchmarks/test_bls12_381[bls12_g1add],main,3,-0.1271198415408903,-0.13212508913023058,-0.06806276165246539,-0.13212508913023058,-0.06806276165246539
bench,Crypto Precompile benchmarks/test_bls12_381[bls12_g1add],base,3,-0.12629037326933323,-0.48255314988480125,-0.09370993126058824,-0.48255314988480125,-0.09370993126058824
bench,Crypto Precompile benchmarks/test_bls12_381[bls12_g1msm],main,3,-0.09311238913557451,-0.3224668893800908,-0.030136250577972312,-0.3224668893800908,-0.030136250577972312
bench,Crypto Precompile benchmarks/test_bls12_381[bls12_g1msm],base,3,-0.30912924366135464,-0.8586939064197496,-0.0794946307303146,-0.8586939064197496,-0.0794946307303146
bench,Crypto Precompile benchmarks/test_bls12_381[bls12_g2add],main,3,0.21128510273900059,0.16941552835250118,0.21715741044545656,0.16941552835250118,0.21715741044545656
bench,Crypto Precompile benchmarks/test_bls12_381[bls12_g2add],base,3,-0.051784931051546135,-0.563642351585425,0.4345827099218935,-0.563642351585425,0.4345827099218935
bench,Crypto Precompile benchmarks/test_bls12_381[bls12_g2msm],main,3,-0.03971874984740609,-0.5370684557193695,0.8316946333744468,-0.5370684557193695,0.8316946333744468
bench,Crypto Precompile benchmarks/test_bls12_381[bls12_g2msm],base,3,-0.16834988786157412,-0.9733783201643975,0.8921000503902876,-0.9733783201643975,0.8921000503902876
bench,Crypto Precompile benchmarks/test_bls12_381[bls12_pairing_check],main,3,-0.12049867485185439,-0.9221816281130502,0.022944888875819913,-0.9221816281130502,0.022944888875819913
bench,Crypto Precompile benchmarks/test_bls12_381[bls12_pairing_check],base,3,-0.0036168815206627514,-0.3443425784406484,0.1864040652515886,-0.3443425784406484,0.1864040652515886
bench,Crypto Precompile benchmarks/test_bls12_381_uncachable[bls12_fp_to_g1],main,3,-0.06251500187385295,-0.3722324904734009,0.07094527070965473,-0.3722324904734009,0.07094527070965473
bench,Crypto Precompile benchmarks/test_bls12_381_uncachable[bls12_fp_to_g1],base,3,-0.19300329120960358,-0.49604917393112347,-0.07801405357669156,-0.49604917393112347,-0.07801405357669156
bench,Crypto Precompile benchmarks/test_bls12_381_uncachable[bls12_fp_to_g2],main,3,0.07032637740718162,-0.06715306413892508,0.10272901312413651,-0.06715306413892508,0.10272901312413651
bench,Crypto Precompile benchmarks/test_bls12_381_uncachable[bls12_fp_to_g2],base,3,0.04794517596751202,0.02455595887933537,0.17326144124598652,0.02455595887933537,0.17326144124598652
bench,Crypto Precompile benchmarks/test_bls12_381_uncachable[bls12_g1add],main,3,0.17984872181102673,-0.6157855607763829,0.32684351954219704,-0.6157855607763829,0.32684351954219704
bench,Crypto Precompile benchmarks/test_bls12_381_uncachable[bls12_g1add],base,3,-0.004466783307266464,-0.9395438989532212,0.090167356129367,-0.9395438989532212,0.090167356129367
bench,Crypto Precompile benchmarks/test_bls12_381_uncachable[bls12_g1msm],main,3,-0.3055051315250745,-0.71684301953161,0.09737364370174806,-0.71684301953161,0.09737364370174806
bench,Crypto Precompile benchmarks/test_bls12_381_uncachable[bls12_g1msm],base,3,-0.20482193183802844,-0.4025477073397399,0.21734747727335524,-0.4025477073397399,0.21734747727335524
bench,Crypto Precompile benchmarks/test_bls12_381_uncachable[bls12_g2add],main,3,0.1858255751712612,-0.11416923913147858,0.4521497364609717,-0.11416923913147858,0.4521497364609717
bench,Crypto Precompile benchmarks/test_bls12_381_uncachable[bls12_g2add],base,3,0.3658813067886735,0.09169341131702868,0.37784959980808885,0.09169341131702868,0.37784959980808885
bench,Crypto Precompile benchmarks/test_bls12_381_uncachable[bls12_g2msm],main,3,0.6309020347851746,0.25575004562021775,1.1390089576764684,0.25575004562021775,1.1390089576764684
bench,Crypto Precompile benchmarks/test_bls12_381_uncachable[bls12_g2msm],base,3,0.49001153439860445,0.13696109127074862,1.2142728356995924,0.13696109127074862,1.2142728356995924
bench,Crypto Precompile benchmarks/test_bls12_g1_msm[k=128],main,3,-0.11976800535090648,-0.12352370786036238,0.6488528441568553,-0.12352370786036238,0.6488528441568553
bench,Crypto Precompile benchmarks/test_bls12_g1_msm[k=128],base,3,-0.1460939775206338,-0.22704181021461212,-0.0831628087530456,-0.22704181021461212,-0.0831628087530456
bench,Crypto Precompile benchmarks/test_bls12_g1_msm[k=16],main,3,-0.05774957113341417,-0.10827366666505966,-0.042873117380404224,-0.10827366666505966,-0.042873117380404224
bench,Crypto Precompile benchmarks/test_bls12_g1_msm[k=16],base,3,-0.27045299771377707,-0.45725327887784495,-0.01787632006449158,-0.45725327887784495,-0.01787632006449158
bench,Crypto Precompile benchmarks/test_bls12_g1_msm[k=1],main,3,0.3766893787498171,-0.17365470286874185,0.4803914430115741,-0.17365470286874185,0.4803914430115741
bench,Crypto Precompile benchmarks/test_bls12_g1_msm[k=1],base,3,-0.08706048359382601,-0.08933922005103234,0.49969199001855813,-0.08933922005103234,0.49969199001855813
bench,Crypto Precompile benchmarks/test_bls12_g1_msm[k=64],main,3,-0.09932019342793197,-0.3771409333648501,-0.06397401655301449,-0.3771409333648501,-0.06397401655301449
bench,Crypto Precompile benchmarks/test_bls12_g1_msm[k=64],base,3,-0.40356791484966736,-0.9132189670850499,-0.05470126208891868,-0.9132189670850499,-0.05470126208891868
bench,Crypto Precompile benchmarks/test_bls12_g2_msm[k=128],main,3,-0.4306495492743978,-0.5255371273349074,0.13014188381330616,-0.5255371273349074,0.13014188381330616
bench,Crypto Precompile benchmarks/test_bls12_g2_msm[k=128],base,3,0.2263680756157127,-0.013544092481854175,0.4934359162348301,-0.013544092481854175,0.4934359162348301
bench,Crypto Precompile benchmarks/test_bls12_g2_msm[k=16],main,3,0.2630637981525741,-0.0647517024455091,0.547800237939744,-0.0647517024455091,0.547800237939744
bench,Crypto Precompile benchmarks/test_bls12_g2_msm[k=16],base,3,0.4413728213507495,-0.01933130412505868,0.7031853195847981,-0.01933130412505868,0.7031853195847981
bench,Crypto Precompile benchmarks/test_bls12_g2_msm[k=1],main,3,0.029615689848316862,-0.11515667347513636,0.11746244533132888,-0.11515667347513636,0.11746244533132888
bench,Crypto Precompile benchmarks/test_bls12_g2_msm[k=1],base,3,-0.07249357847345372,-0.40566112463414905,0.12699127249840014,-0.40566112463414905,0.12699127249840014
bench,Crypto Precompile benchmarks/test_bls12_g2_msm[k=64],main,3,0.07956277609544316,-0.09129861365493319,0.8498153375049444,-0.09129861365493319,0.8498153375049444
